name,printings,rarity
Trostani Discordant,"CLU, GRN, PGRN, SCD",mythic
Underrealm Lich,"CLU, GRN, PGRN",mythic
Vernadi Shieldmate,"CLU, GRN, RVR",common
Vizkopa Vampire,"CLU, RNA",common
Whisper Agent,"CLU, GRN, RVR",common
Blood Crypt,"CLU, DIS, EXP, PLST, PRM, PRNA, RNA, RTR, RVR, SLD, UNF",rare
Breeding Pool,"CLU, DIS, EXP, GTC, PRM, PRNA, RNA, RVR, SLD, UNF",rare
Godless Shrine,"CLU, EXP, GPT, GTC, PRM, PRNA, RNA, RVR, SLD, UNF",rare
Hallowed Fountain,"CLU, DIS, EXP, PRM, PRNA, RNA, RTR, RVR, SLD, UNF",rare
Overgrown Tomb,"CLU, EXP, GRN, PGRN, PRM, RAV, RTR, RVR, SLD, UNF",rare
Sacred Foundry,"CLU, EXP, GRN, GTC, PGRN, PRM, RAV, RVR, SLD, UNF",rare
Steam Vents,"CLU, EXP, GPT, GRN, PGRN, PRM, RTR, RVR, SLD, UNF",rare
Stomping Ground,"CLU, EXP, GPT, GTC, PRM, PRNA, RNA, RVR, SLD, UNF",rare
Temple Garden,"CLU, EXP, GRN, PGRN, PRM, RAV, RTR, RVR, SLD, UNF",rare
Watery Grave,"CLU, EXP, GRN, GTC, PGRN, PRM, RAV, RVR, SLD, UNF",rare
Buried Alive,"CM2, CMD, MH3, ODY, PD3, PLST, SLD, TD0, UMA, WC03, WTH",uncommon
Flusterstorm,"CMD, IMA, J12, MB2, MH1, MH3, PLST, PRM, PZ1, VMA",rare
All That Glitters,"CMM, ELD, PIP, PLST",common
"Danitha Capashen, Paragon","CMM, CMR, DOM, GN3, J22, J25, PDOM, PLST, SLD, WOC",uncommon
Gavony Silversmith,"CMM, DBL, J25, MID",common
"Heliod, Sun-Crowned","CMM, PLST, PRM, PTHB, SLD, THB",mythic
Mace of the Valiant,"CMM, ELD, J25, ONC",uncommon
Ministrant of Obligation,"CMM, PLST, RNA, RVR",common
"Sephara, Sky's Blade","CMM, M20, PLST, PM20, SCD",rare
Sunblade Angel,"CMM, PLST, WAR",common
Swift Response,"CMM, J25, M21",common
Wakening Sun's Avatar,"CMM, LCC, PXLN, XLN",rare
Wanderer's Strike,"CMM, PLST, WAR",common
Day's Undoing,"CMM, ORI, PIO, PLST",rare
Inga Rune-Eyes,"CMM, KHM, MUL, PRM",uncommon
Renowned Weaponsmith,"CMM, FRF, J22, M20",common
Resculpt,"CMM, STX",common
Rise from the Tides,"CMM, F16, GN2, INR, PLST, PRM, SIR, SOI, UMA",uncommon
Shipwreck Dowser,"CMM, FDN, J25, M21, PLST",common
"Thryx, the Sudden Storm","CMM, J25, PRM, PTHB, THB",uncommon
Torrential Gearhulk,"CMM, KLD, KLR, MPS, PKLD",rare
Windrider Wizard,"CMM, ZNR",common
Witching Well,"CMM, ELD, J25, PLST",common
"Zahid, Djinn of the Lamp","CMM, DOM, GNT, PDOM, PRM",uncommon
Carrion Grub,"CMM, DSC, M21",common
Demon's Disciple,"CMM, J22, ZNR",common
Demonlord Belzenlok,"CMM, DOM, PDOM, SLD",rare
Exsanguinate,"CMM, FDN, J22, J25, PLST, SOM",uncommon
Final Parting,"CMM, DOM",uncommon
Goremand,"CMM, J25, M21",uncommon
Heartless Act,"CMM, IKO, PLST",uncommon
Isareth the Awakener,"CMM, J25, M19, PM19",uncommon
Lotleth Giant,"CMM, GRN, SCD",common
Mire Triton,"CMM, J22, JMP, SCD, THB",common
Priest of the Blood Rite,"CMM, DDR, GN3, J22, ORI, PIO, PORI",uncommon
"Rankle, Master of Pranks","CMM, ELD, OTC, PELD, SLD, WOC",rare
Rune-Scarred Demon,"CMM, FDN, IMA, M12, PFDN, PLST",rare
Serrated Scorpion,"CMM, IKO",common
"Taborax, Hope's Demise","CMM, J25, PRM, PZNR, ZNR",uncommon
Twilight Prophet,"CMM, LCC, MKC, PLST, PRIX, RIX, SLD",mythic
"Whisper, Blood Liturgist","CMM, DOM, PDOM",uncommon
Witch's Cauldron,"CMM, J22, M21",common
"Yargle, Glutton of Urborg","CMM, DOM, J22, MUL, PDOM, PLST, SLD",uncommon
"Anax, Hardened in the Forge","CMM, PLST, PRM, THB",uncommon
Blood Aspirant,"CMM, J22, THB",common
Champion of the Flame,"CMM, CMR, DOM",common
Cyclops Electromancer,"CMM, J22, J25, WAR",common
Dwarven Hammer,"CMM, KHM, PLST",common
Furious Rise,"CMM, M21, PIO, PLST, THB",uncommon
Hoarding Dragon,"CMM, FDN, IMA, M11, M15, PLST",uncommon
"Krenko, Mob Boss","CMM, DDN, DDT, FDN, J22, JMP, M13, PFDN, PLST, RVR",rare
Makeshift Munitions,"CMM, CMR, JMP, XLN",common
Meteoric Mace,"CMM, CMR, MH3",uncommon
"Purphoros, God of the Forge","CMM, P22, PIO, PLST, SLD, THS",mythic
Star of Extinction,"CMM, PLST, PXLN, XLN",rare
Storm-Kiln Artist,"CMM, OTC, PLST, STX, TDC",uncommon
"Subira, Tulzidi Caravanner","CMM, M21, PLST, PM21, PRM",uncommon
"Valduk, Keeper of the Flame","CMM, DMR, DOM, MUL, PDOM",uncommon
Armorcraft Judge,"CMM, CMR, J25, JMP, KLD, KLR, MOC, PLST, ZNC",uncommon
Courage in Crisis,"CMM, PLST, WAR",common
Crawling Infestation,"CMM, DBL, VOW",common
Finale of Devastation,"CMM, PWAR, WAR",mythic
Fungal Plots,"CMM, DOM, J25",uncommon
The Great Henge,"CMM, ELD, LTC, PELD",mythic
"Mowu, Loyal Companion","CMM, J25, WAR",uncommon
"Oviya Pashiri, Sage Lifecrafter","CMM, KLD, KLR, PKLD",uncommon
Ram Through,"CMM, GN3, IKO, J22, PLST",common
Snakeskin Veil,"CMM, FDN, J25, KHM, OTJ, PCBB, STA, TDM",common
"Surrak, the Hunt Caller","CMM, DTK, FDN, PDTK",uncommon
Wayward Swordtooth,"CMM, LCC, PRIX, RIX, SLD",rare
Wildwood Scourge,"CMM, FDN, M21",uncommon
"Akiri, Fearless Voyager","CMM, PRM, PZNR, ZNR",uncommon
"Aryel, Knight of Windgrace","CMM, DOM, MOC, PDOM",uncommon
"Raff Capashen, Ship's Mage","CMM, DOM, NEC, PDOM, PLST",uncommon
"Slimefoot, the Stowaway","CMM, DOM, PDOM, PLST, SLD, TSR",uncommon
"Tatyova, Benthic Druid","CMM, DMR, DOM, DSC, FDN, LCC, M3C, PDOM, PLST",uncommon
Teysa Karlov,"CMM, MUL, PRNA, RNA, SLD",rare
"Zacama, Primal Calamity","CMM, LCC, PJ21, PLST, PRIX, RIX",rare
"Zilortha, Strength Incarnate","CMM, IKO",rare
Brass Knuckles,"CMM, PIP, SNC",common
Forebear's Blade,"CMM, DOM, PDOM, PLST",uncommon
Heart-Piercer Bow,"CMM, J22, KTK, M20",common
The Immortal Sun,"CMM, PRIX, RIX",mythic
Letter of Acceptance,"CMM, PLST, STX",common
Vial of Dragonfire,"CMM, DTK, J22, M20",common
"Ugin, the Ineffable","CMM, M3C, PRM, PWAR, SLD, WAR",rare
Ajani Steadfast,"CMM, M15, PIO, PS14, SLD",mythic
Felidar Retreat,"CMM, FDN, J22, NCC, ONC, PLST, PRM, PZNR, SCD, ZNR",rare
Grateful Apparition,"CMM, NCC, ONC, PLST, WAR",uncommon
"Heliod, God of the Sun","CMM, PIO, PLST, SLD, THS",mythic
Love Song of Night and Day,"CMM, DMU",uncommon
Oath of Gideon,"CMM, OGW, PIO, POGW",rare
Omen of the Sun,"CMM, PLST, THB",common
Semester's End,"CMM, MOC, PRM, PSTX, STX",rare
Starfield Mystic,"CMM, DSC, J25, M20, PM20, WOC",rare
Starfield of Nyx,"CMM, ORI, PIO",mythic
The Wanderer,"CMM, PLST, PRM, PWAR, SLD, WAR",uncommon
Flux Channeler,"CMM, PLST, WAR",uncommon
"Jace, Mirror Mage","CMM, PRM, PZNR, ZNR",mythic
Oath of Jace,"CMM, OGW, PIO, POGW",rare
Spark Double,"CMM, PLST, PWAR, RVR, WAR",rare
Dreadhorde Invasion,"CMM, DRC, MIC, PWAR, WAR",rare
"Erebos, Bleak-Hearted","CMM, PRM, PTHB, THB",mythic
Mindwrack Harpy,"CMM, PLST, THB",common
"Chandra, Awakened Inferno","CMM, M20, PM20",mythic
"Chandra, Torch of Defiance","CMM, KLD, KLR, PKLD, PRM, PS17, PS18, Q06, SS3",mythic
Repeated Reverberation,"CMM, M20, PM20",rare
Sarkhan the Masterless,"CMM, PRM, PWAR, SLD, WAR",rare
The Binding of the Titans,"CMM, THB",uncommon
Destiny Spinner,"CMM, PLST, THB, WOC",uncommon
Dryad of the Ilysian Grove,"CMM, M3C, PLST, PRM, PTHB, SLD, THB",rare
Greater Tanuki,"CMM, DSC, NEO, PLST",common
The Mending of Dominaria,"CMM, DOM, OTC, PDOM, PLST, ZNC",rare
Nessian Wanderer,"CMM, THB",uncommon
Omen of the Hunt,"CMM, THB",common
Realmwalker,"CMM, KHM, LCC, PKHM, PLST, PRM, SLD",rare
Setessan Champion,"CMM, PRM, PTHB, THB, WOC",rare
Battle for Bretagard,"CMM, KHM, PKHM",rare
"Calix, Destiny's Hand","CMM, PRM, PTHB, THB",mythic
Culling Ritual,"CMM, DSC, ONC, OTC, PRM, PSTX, STX",rare
Jukai Naturalist,"CMM, NEO, WOC",uncommon
Narset of the Ancient Way,"CMM, IKO, PIKO, PRM",mythic
"Narset, Enlightened Master","CMM, KTK, PKTK, SLD",mythic
Oath of Teferi,"CMM, DOM, PDOM",rare
"Saheeli, Sublime Artificer","CMM, DRC, MOC, PRM, PWAR, SLD, WAR",uncommon
Satyr Enchanter,"CMM, M19, PLST",uncommon
The Chain Veil,"CMM, M15, PIO, PLST",mythic
Crashing Drawbridge,"CMM, ELD, TDC",common
Fireshrieker,"CMM, CMR, CNS, FDN, J25, M14, MRD, NEC, PIP",uncommon
Forsaken Monument,"CMM, M3C, PRM, PZNR, ZNR",mythic
Investigator's Journal,"CMM, DBL, PRM, PVOW, VOW",rare
Myriad Construct,"CMM, PRM, PZNR, ZNR",rare
Pillar of Origins,"CMM, XLN",uncommon
Stonecoil Serpent,"CMM, ELD, PELD, PLST, SLD",rare
Suspicious Bookcase,"CMM, DSC, JMP, M19, PLST, SNC",uncommon
Transmogrifying Wand,"CMM, M19, PLST, PM19",rare
Vanquisher's Banner,"CMM, LCC, LTC, MOC, PLST, PXLN, TSR, XLN",rare
Arch of Orazca,"CMM, LCC, PLST, PRIX, RIX, TSR",rare
Bonders' Enclave,"CMM, IKO, J22, M3C, OTC, PIKO, PLST, PRM",rare
Frostboil Snarl,"CMM, DRC, LCC, LTC, M3C, MOC, OTC, PRM, PSTX, STX, WHO",rare
Furycalm Snarl,"CMM, LCC, LTC, M3C, MKC, MOC, ONC, PRM, PSTX, STX, WHO",rare
Interplanar Beacon,"CMM, PLST, WAR",uncommon
Karn's Bastion,"CMM, LCC, MOC, NCC, ONC, PRM, PWAR, RVR, SLD, WAR",rare
Mobilized District,"CMM, DMC, PWAR, WAR",rare
Secluded Courtyard,"CMM, FDN, LCC, LTC, M3C, NEO, SPG",uncommon
Shineshadow Snarl,"CMM, LCC, LTC, MOC, ONC, PRM, PSTX, STX",rare
Tomb of the Spirit Dragon,"CMM, KTK, M3C",uncommon
Tyrite Sanctum,"CMM, DMC, KHM, PKHM, PRM",rare
Captain's Call,"CMR, DMU, M13",common
Make a Stand,"CMR, FDN, J22, J25, M19, OGW, PLST",uncommon
Open the Armory,"CMR, PIO, SOI",uncommon
Raise the Alarm,"CMR, CN2, DDF, DDO, EMA, J25, JMP, M15, M20, MD1, MM2, MRD, PLST",common
Skywhaler's Shot,"CMR, KLD, KLR",common
Squad Captain,"CMR, J25, M20",common
Trusty Packbeast,"CMR, M19",common
Aqueous Form,"CMR, PIO, PLST, THS",common
Flood of Recollection,"CMR, RIX",common
Daring Saboteur,"CMR, LCC, NCC, PLST, PXLN, XLN",uncommon
Horizon Scholar,"CMR, M19, PLST, THS",uncommon
Prosperous Pirates,"CMR, JMP, PLST, XLN",common
Prying Eyes,"CMR, RNA",common
Sailor of Means,"CMR, JMP, PLST, RIX, XLN",common
Scholar of Stars,"CMR, M19",common
Scholar of the Ages,"CMR, M20, PLST",uncommon
Siren Stormtamer,"CMR, LCC, PLST, XLN",uncommon
Skilled Animator,"CMR, J22, M19",uncommon
Spontaneous Mutation,"CMR, EMN, INR, SIR",common
Bitter Revelation,"CMR, KTK, PLST",common
Bladebrand,"CMR, DBL, M20, MID, PLST, RNA, RVR",common
Crow of Dark Tidings,"CMR, FDN, GN2, J22, JMP, PLST, SIR, SOI, UMA",common
Spark Harvest,"CMR, WAR",common
Brazen Freebooter,"CMR, J22, RIX",common
Burning Anger,"CMR, M15, PIO",uncommon
Dragon Egg,"CMR, EMA, GN2, GN3, IMA, J22, M14, M19, PLST",common
Dragon Mantle,"CMR, J21, PIO, PLST, THS, WOT",common
Fiery Cannonade,"CMR, XLN",common
Goblin Trailblazer,"CMR, J22, J25, PLST, RIX",common
Lightning-Rig Crew,"CMR, XLN",uncommon
Portent of Betrayal,"CMR, THB, THS",common
Rummaging Goblin,"CMR, J22, M13, M15, PLST, XLN",common
Skyraker Giant,"CMR, FDN, ORI",common
Sparktongue Dragon,"CMR, GN2, J22, J25, M19, PLST",common
Welding Sparks,"CMR, DDU, J22, KLD, KLR",common
Ancient Animus,"CMR, DOM",common
Ordeal of Nylea,"CMR, FDN, J22, NEC, THS",uncommon
Silverback Shaman,"CMR, J22, M20",common
Strength of the Pack,"CMR, RIX",uncommon
Filigree Familiar,"CMR, DDU, GNT, KLD, KLR, PLST",common
Howling Golem,"CMR, DOM, GN2, GN3, GNT",common
Pirate's Cutlass,"CMR, FDN, JMP, XLN",common
Workshop Assistant,"CMR, KLD, KLR",common
Elder Deep-Fiend,"CMR, EMN, INR, M3C, PEMN, PLST, SIR",rare
Faith Unbroken,"CMR, EMN, INR, PLST, SIR",uncommon
Ironclad Slayer,"CMR, EMN, SIR",common
On Serra's Wings,"CMR, DOM, PLST",uncommon
Sigarda's Aid,"CMR, EMN, PEMN, SIR, SLD",rare
"Nezahal, Primal Tide","CMR, HBG, PLST, PRIX, RIX, SLD",rare
Shipbreaker Kraken,"CMR, PIO, PRM, PTHS, THS",rare
"Slinn Voda, the Rising Deep","CMR, DOM, PDOM",uncommon
Stormtide Leviathan,"CMR, M11, M13, M15, PIO",rare
Jaya's Immolating Inferno,"CMR, DOM, PDOM, PLST, SLD",rare
Deflecting Palm,"CMR, KTK, MKC, PKTK",rare
Response // Resurgence,"CMR, GRN, PGRN, RVR",rare
Sharktocrab,"CMR, RNA, RVR",uncommon
"Tiana, Ship's Caretaker","CMR, DMR, DOM, PDOM",uncommon
Wear // Tear,"CMR, DGM, DMC, MOC, PIO, PIP, PLST",uncommon
Memorial to War,"CMR, DOM",uncommon
Recruiter of the Guard,"CN2, MH3, PLST, PZ2",rare
Kill Shot,"CN2, KTK, SNC",common
Child of Night,"CN2, DDK, E02, GRN, IMA, JMP, M10, M11, M12, M14, M15, M19, PLST",common
Keepsake Gorgon,"CN2, PIO, THS",uncommon
Burn Away,"CN2, KTK",uncommon
Twin Bolt,"CN2, DTK, TDM",common
Fade into Antiquity,"CN2, NEO, PLST, THS",common
Nessian Asp,"CN2, DDO, PIO, THS",uncommon
Netcaster Spider,"CN2, DDO, IMA, M15, M20, OGW",common
Voyaging Satyr,"CN2, PIO, THS",common
Kitesail,"CN2, J22, M13, MM2, MOM, WWK",common
Moment of Heroism,"CNS, DDL, E01, ISD, J25, JMP, M20",common
Aether Tradewinds,"CNS, KLD, KLR, PLST, WWK",common
Pitchburn Devils,"CNS, ISD, M14, M21",common
Lead the Stampede,"CNS, DDH, DDU, IKO, IMA, MBS, PLST",uncommon
Pelakka Wurm,"CNS, FDN, M19, MM2, PLST, PM19, ROE",uncommon
Sporecap Spider,"CNS, ELD, ROE",common
Banefire,"CON, DDN, DPA, J22, M19, MM2, PM19, PS11",rare
Progenitus,"CON, FDN, MMA, PFDN, PGPX, PLST, SLD, V11",mythic
Necropolis Fiend,"CP2, KTK, PKTK, PRM, TDC",rare
Hero's Downfall,"CP2, DBL, DMC, FDN, PLST, PRM, SLD, THS, VOW",rare
Sultai Ascendancy,"CP2, KTK, PKTK, PRM",rare
Whip of Erebos,"CP2, DSC, PIO, PRM, THS",rare
Siege Rhino,"CP3, EA1, KTK, PKTK, PRM, SLC",rare
"Adeline, Resplendent Cathar","DBL, J25, MID, MOC, PMID, TDC",rare
Ambitious Farmhand // Seasoned Cathar,"DBL, INR, MID",uncommon
Beloved Beggar // Generous Soul,"DBL, MID",uncommon
Bereaved Survivor // Dauntless Avenger,"DBL, MID",uncommon
Blessed Defiance,"DBL, J22, MID, PLST",common
Borrowed Time,"DBL, MID",uncommon
Brutal Cathar // Moonrage Brute,"DBL, MID, PMID",rare
Candlegrove Witch,"DBL, MID",common
Candletrap,"DBL, MID",common
Cathar Commando,"DBL, FDN, INR, MB2, MID",common
Cathar's Call,"DBL, INR, MID",uncommon
Celestus Sanctifier,"DBL, MID",common
Chaplain of Alms // Chapel Shieldgeist,"DBL, MID",uncommon
Clarion Cathars,"DBL, MID",common
Curse of Silence,"DBL, MID, PMID, PRM",rare
Duelcraft Trainer,"DBL, MID",uncommon
Enduring Angel // Angelic Enforcer,"DBL, MID, PMID, PRM",mythic
Fateful Absence,"DBL, MID, PMID, PRM, PW22",rare
Flare of Faith,"DBL, MID",common
Gavony Dawnguard,"DBL, MID",uncommon
Gavony Trapper,"DBL, MID",common
Hedgewitch's Mask,"DBL, MID",common
Homestead Courage,"DBL, MID",common
Intrepid Adversary,"DBL, MID, PMID, PRM",mythic
Loyal Gryff,"DBL, MID",uncommon
Lunarch Veteran // Luminous Phantom,"DBL, INR, MID",common
Mourning Patrol // Morning Apparition,"DBL, MID",common
Odric's Outrider,"DBL, MID",uncommon
Ritual Guardian,"DBL, MID",common
Ritual of Hope,"DBL, MID",uncommon
Search Party Captain,"DBL, J25, MID, PLST",common
Sigarda's Splendor,"DBL, MID, PMID, PRM",rare
Sigardian Savior,"DBL, MID, PMID, PRM",mythic
Soul-Guide Gryff,"DBL, INR, MID",common
Sungold Barrage,"DBL, MID",common
Sungold Sentinel,"DBL, MID, PMID, PRM",rare
Sunset Revelry,"DBL, LTC, MID",uncommon
Thraben Exorcism,"DBL, MID",common
Unruly Mob,"DBL, ISD, MID, SOI",common
Vanquish the Horde,"DBL, INR, MID, PMID, PRM, SLD, TDC",rare
Baithook Angler // Hook-Haunt Drifter,"DBL, MID",common
Component Collector,"DBL, MID",common
Covetous Castaway // Ghostly Castigator,"DBL, INR, MID",uncommon
Curse of Surveillance,"DBL, MID, PMID, PRM",rare
Delver of Secrets // Insectile Aberration,"DBL, INR, ISD, MID, SLD, V17",uncommon
Devious Cover-Up,"DBL, GRN, MID",common
Dissipate,"DBL, DDJ, F02, ISD, M15, MID, MIR, OLEP, PLST, PRM, WC97, WC98",uncommon
Drownyard Amalgam,"DBL, MID",common
Fading Hope,"DBL, J25, MID",uncommon
Falcon Abomination,"DBL, MID",common
Firmament Sage,"DBL, MID",uncommon
Flip the Switch,"DBL, MID",common
Galedrifter // Waildrifter,"DBL, MID",common
Geistwave,"DBL, MID, PLST",common
Grafted Identity,"DBL, MID, PMID, PRM",rare
Larder Zombie,"DBL, MID",common
"Lier, Disciple of the Drowned","DBL, MID, PMID, SCH, TDC",mythic
Locked in the Cemetery,"DBL, J25, MID",common
Malevolent Hermit // Benevolent Geist,"DBL, MID, PMID, PRM",rare
Memory Deluge,"DBL, INR, MID, PMID, PRM, SCH",rare
Mysterious Tome // Chilling Chronicle,"DBL, MID",uncommon
Nebelgast Intruder,"DBL, MID",uncommon
Ominous Roost,"DBL, MID",uncommon
Organ Hoarder,"DBL, J25, MID",common
Otherworldly Gaze,"DBL, DSC, MID, MKC",common
Overwhelmed Archivist // Archive Haunt,"DBL, MID",uncommon
Patrician Geist,"DBL, MID, PMID, PRM",rare
Phantom Carriage,"DBL, MID",uncommon
Poppet Stitcher // Poppet Factory,"DBL, MID, PMID, PRM",mythic
Revenge of the Drowned,"DBL, MID",common
Secrets of the Key,"DBL, MID",common
Shipwreck Sifters,"DBL, MID",common
Skaab Wrangler,"DBL, MID",uncommon
Spectral Adversary,"DBL, MID, PMID, PRM",mythic
Startle,"DBL, MID, PLST",common
Stormrider Spirit,"DBL, MID, SIR, SOI",common
Suspicious Stowaway // Seafaring Werewolf,"DBL, MID, PMID",rare
Unblinking Observer,"DBL, MID",common
Vivisection,"DBL, MBS, MID",uncommon
Arrogant Outlaw,"DBL, J25, MID",common
Baneblade Scoundrel // Baneclaw Marauder,"DBL, MID",uncommon
Bat Whisperer,"DBL, MID",common
Blood Pact,"DBL, DSC, MID, PLST",common
Bloodline Culling,"DBL, MID, PMID, PRM",rare
Bloodtithe Collector,"DBL, FDN, J25, MID",uncommon
Champion of the Perished,"DBL, MID, PMID, PRM, SCD, SLD",rare
Covert Cutpurse // Covetous Geist,"DBL, MID",uncommon
Crawl from the Cellar,"DBL, INR, J25, MID",common
Curse of Leeches // Leeching Lurker,"DBL, MID, PMID, PRM",rare
Defenestrate,"DBL, J25, MID",common
Diregraf Horde,"DBL, MID, PLST",common
Dreadhound,"DBL, J22, J25, MID, PIO, PLST",uncommon
Eaten Alive,"DBL, FDN, INR, J22, J25, MID",common
Ecstatic Awakener // Awoken Demon,"DBL, INR, MID",common
Foul Play,"DBL, J25, MID",uncommon
Ghoulish Procession,"DBL, INR, MID",uncommon
"Gisa, Glorious Resurrector","DBL, MID, PMID",rare
Graveyard Trespasser // Graveyard Glutton,"DBL, MID, PMID",rare
Heirloom Mirror // Inherited Fiend,"DBL, MID",uncommon
Hobbling Zombie,"DBL, MID",common
Infernal Grasp,"DBL, DSC, INR, J25, MID, PSVC, TDC",uncommon
"Jadar, Ghoulcaller of Nephalia","DBL, MID, PMID",rare
"Jerren, Corrupted Bishop // Ormendahl, the Corrupter","DBL, MID, PMID",mythic
Lord of the Forsaken,"DBL, MID, PMID, PRM, TDC",mythic
Mask of Griselbrand,"DBL, DSC, MID, PMID, PRM",rare
The Meathook Massacre,"DBL, INR, MID, PLST, PMID, PRM",mythic
Morkrut Behemoth,"DBL, J25, MID",common
Necrosynthesis,"DBL, MID",uncommon
No Way Out,"DBL, MID",common
Novice Occultist,"DBL, MID",common
Olivia's Midnight Ambush,"DBL, MID",common
Rotten Reunion,"DBL, MID",common
Shady Traveler // Stalking Predator,"DBL, MID",common
Siege Zombie,"DBL, INR, MID, PLST",common
Slaughter Specialist,"DBL, MID, PMID, PRM",rare
Stromkirk Bloodthief,"DBL, FDN, MID",uncommon
Tainted Adversary,"DBL, MID, PMID, PRM",mythic
Vampire Interloper,"DBL, E02, FDN, ISD, MID",common
Vengeful Strangler // Strangling Grasp,"DBL, MID",uncommon
Abandon the Post,"DBL, MID",common
Ardent Elementalist,"DBL, MID, PLST",common
Bloodthirsty Adversary,"DBL, MID, OTC, PMID, PRM",mythic
Brimstone Vandal,"DBL, MID",common
Burn Down the House,"DBL, MID, PMID, PRM",rare
Burn the Accursed,"DBL, MID",common
Cathartic Pyre,"DBL, MID",uncommon
Curse of Shaken Faith,"DBL, MID, PMID, PRM",rare
Electric Revelation,"DBL, J22, MID, OTC, PLST",common
Falkenrath Perforator,"DBL, MID",common
Falkenrath Pit Fighter,"DBL, MID, PMID, PRM",rare
Famished Foragers,"DBL, MID",common
Fangblade Brigand // Fangblade Eviscerator,"DBL, MID",uncommon
Festival Crasher,"DBL, INR, MID",common
Flame Channeler // Embodiment of Flame,"DBL, MID",uncommon
Geistflame Reservoir,"DBL, MID, PMID, PRM",rare
Harvesttide Infiltrator // Harvesttide Assailant,"DBL, MID",common
Lambholt Harrier,"DBL, MID",common
Light Up the Night,"DBL, MID, PMID, PRM",rare
Lunar Frenzy,"DBL, MID, PLST",uncommon
Moonrager's Slash,"DBL, MID",common
Moonveil Regent,"DBL, MID, PMID, PRM",mythic
Mounted Dreadknight,"DBL, MID",common
Neonate's Rush,"DBL, INR, J25, MID",common
Obsessive Astronomer,"DBL, MID",uncommon
Pack's Betrayal,"DBL, MID",common
Play with Fire,"DBL, J25, MID",uncommon
Purifying Dragon,"DBL, MID, PLST",uncommon
Raze the Effigy,"DBL, J22, MID",common
Reckless Stormseeker // Storm-Charged Slasher,"DBL, MID, PMID",rare
Seize the Storm,"DBL, INR, J22, MID",uncommon
Smoldering Egg // Ashmouth Dragon,"DBL, MID, PMID, PRM",rare
Spellrune Painter // Spellrune Howler,"DBL, MID",uncommon
Stolen Vitality,"DBL, J25, MID",common
Sunstreak Phoenix,"DBL, MID, PMID, PRM",mythic
Tavern Ruffian // Tavern Smasher,"DBL, MID",common
Thermo-Alchemist,"DBL, EMN, INR, J22, JMP, MID, PLST, SCD, SIR, UMA",uncommon
Village Watch // Village Reavers,"DBL, MID",uncommon
Voldaren Ambusher,"DBL, INR, J25, MID",uncommon
Voldaren Stinger,"DBL, MID",common
Augur of Autumn,"DBL, DSC, MID, PLST, PMID, PRM",rare
Bird Admirer // Wing Shredder,"DBL, MID",common
Bounding Wolf,"DBL, J22, MID",common
Bramble Armor,"DBL, MID, VOW",common
Briarbridge Tracker,"DBL, J25, MID, PMID, PRM",rare
Brood Weaver,"DBL, MID",uncommon
Burly Breaker // Dire-Strain Demolisher,"DBL, MID",uncommon
Candlelit Cavalry,"DBL, MID",common
Consuming Blob,"DBL, MID, PMID, PRM",mythic
Contortionist Troupe,"DBL, MID",uncommon
Dawnhart Mentor,"DBL, MID",uncommon
Dawnhart Rejuvenator,"DBL, MID, PLST",common
Deathbonnet Sprout // Deathbonnet Hulk,"DBL, MID",uncommon
Defend the Celestus,"DBL, J25, MID",uncommon
Dryad's Revival,"DBL, MID",uncommon
Duel for Dominance,"DBL, INR, MID",common
Eccentric Farmer,"DBL, INR, MID, OTC",common
Harvesttide Sentry,"DBL, MID",common
Hound Tamer // Untamed Pup,"DBL, MID",uncommon
Howl of the Hunt,"DBL, J22, MID",common
Might of the Old Ways,"DBL, MID",common
Outland Liberator // Frenzied Trapbreaker,"DBL, MID",uncommon
Path to the Festival,"DBL, MID",common
Pestilent Wolf,"DBL, J22, MID",common
Primal Adversary,"DBL, MID, PMID, PRM",mythic
Rise of the Ants,"DBL, MID, PLST",uncommon
"Saryth, the Viper's Fang","DBL, MID, MKC, PMID",rare
Shadowbeast Sighting,"DBL, MID",common
Snarling Wolf,"DBL, MID, VOW",common
Storm the Festival,"DBL, MID, PMID, PRM",rare
Tapping at the Window,"DBL, MID",common
Tireless Hauler // Dire-Strain Brawler,"DBL, MID",common
Tovolar's Huntmaster // Tovolar's Packleader,"DBL, MID, PLST, PMID",rare
Turn the Earth,"DBL, MID",uncommon
Willow Geist,"DBL, MID, PMID, PRM",rare
Wrenn and Seven,"DBL, DSC, INR, MID, PMID, PRM",mythic
Angelfire Ignition,"DBL, INR, MID, PMID, PRM",rare
Arcane Infusion,"DBL, MID",uncommon
"Arlinn, the Pack's Hope // Arlinn, the Moon's Fury","DBL, MID, PLST, PMID, PRM",mythic
Bladestitched Skaab,"DBL, INR, MID",uncommon
Can't Stay Away,"DBL, MID, PMID, PRM",rare
Corpse Cobble,"DBL, MID",uncommon
Croaking Counterpart,"DBL, MID, PMID, PRM",rare
Dawnhart Wardens,"DBL, MID",uncommon
"Dennick, Pious Apprentice // Dennick, Pious Apparition","DBL, MID, PLST, PMID",rare
Devoted Grafkeeper // Departed Soulkeeper,"DBL, MID",uncommon
Dire-Strain Rampage,"DBL, MID, PMID, PRM",rare
Diregraf Rebirth,"DBL, MID",uncommon
Faithful Mending,"DBL, MID",uncommon
Fleshtaker,"DBL, INR, MID",uncommon
